Group,Rat,1 10',2 10',3 10',4 10',5 10',6 10',7 10',8 10',9 10'
LPS_NS,1,207,39,1,49,104,250,0,46,0
LPS_NS,2,176,57,14,105,125,244,44,12,10
LPS_NS,3,13,27,0,116,120,284,120,44,9
LPS_NS,4,57,103,64,184,187,400,190,67,12
LPS_NS,5,23,12,10,69,92,104,49,43,0
LPS_NS,6,172,52,11,63,88,97,82,6,1
LPS_NS,7,196,144,32,53,42,70,43,39,0
LPS_NS,8,108,136,19,26,15,132,145,56,5
LPS_NS,9,165,140,21,88,124,112,93,81,9
LPS_NS,10,233,149,7,15,26,180,38,41,10
LPS_NS,11,65,21,6,326,246,707,357,430,22
LPS_NS,12,190,93,58,399,609,330,163,57,3
LPS_DZP,1,160,143,135,214,143,80,124,70,5
LPS_DZP,2,164,128,62,266,288,276,210,193,117
LPS_DZP,3,241,156,79,160,261,400,394,311,0
LPS_DZP,4,242,82,41,193,220,84,41,0,0
LPS_DZP,5,98,45,9,51,32,21,1,1,0
LPS_DZP,6,21,33,0,63,42,36,23,32,6
LPS_DZP,7,242,82,41,193,220,84,41,0,0
LPS_DZP,8,98,45,9,51,32,21,1,1,0
LPS_DZP,9,159,119,17,60,67,41,79,67,13
LPS_DZP,10,183,44,52,241,224,191,176,173,53
LPS_DZP,11,27,34,5,15,6,31,0,2,0
LPS_DZP,12,140,45,0,85,53,46,69,51,5
LPS_BSP,1,325,110,98,300,223,199,118,94,51
LPS_BSP,2,138,57,71,325,237,230,149,134,40
LPS_BSP,3,23,8,0,36,48,58,58,35,3
LPS_BSP,4,216,197,31,18,55,62,121,36,0
LPS_BSP,5,111,119,17,44,53,30,96,16,0
LPS_BSP,6,216,197,31,18,55,62,121,36,0
LPS_BSP,7,331,197,48,232,181,152,51,16,0
LPS_BSP,8,12,0,0,56,67,83,40,49,3
LPS_BSP,9,215,176,8,147,128,88,59,108,3
LPS_BSP,10,88,121,38,275,275,179,198,65,5
LPS_BSP,11,245,194,23,482,348,200,183,76,11
NS_NS,1,83,38,9,41,54,48,64,44,6
NS_NS,3,67,27,0,119,80,72,61,75,4
NS_NS,4,99,28,4,47,140,131,105,110,3
NS_NS,5,129,74,0,34,0,43,17,25,0
NS_NS,6,124,52,16,140,99,112,83,41,2
NS_NS,7,88,61,12,95,73,54,52,36,12
NS_DZP,1,112,8,39,154,140,114,86,38,14
NS_DZP,2,121,105,79,101,67,61,40,68,7
NS_DZP,3,118,98,28,105,61,53,59,45,12
NS_DZP,4,156,82,14,11,0,0,38,75,22
NS_DZP,5,144,47,15,105,61,39,69,46,9
NS_DZP,6,120,34,0,77,53,2,49,59,4
NS_DZP,7,46,7,0,15,35,3,3,23,0
NS_DZP,8,72,47,24,66,42,33,8,14,10
NS_BSP,1,100,25,21,177,122,124,50,4,9
NS_BSP,2,151,39,9,231,123,87,58,0,9
NS_BSP,3,166,84,60,101,94,79,65,20,0
NS_BSP,4,162,65,17,81,75,103,97,68,10
NS_BSP,5,146,97,9,100,94,81,65,56,12
NS_BSP,6,75,31,12,62,50,38,46,12,1
NS_BSP,7,161,59,21,68,72,100,45,11,0
NS_BSP,8,18,14,0,29,15,8,0,15,5
NS_BSP,9,248,135,15,81,155,171,166,200,4